region,demographic-type,demographic,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,,,0.15646373504074834,0.13261519058006224,0.1165621896391538,0.10639957761684489,0.1093260903986456,0.10752317174536957,0.10327445672273258,0.10088154634551617,0.10236485648146507,0.10068135055823524,0.09601400191218284,0.08955180374507381,0.08590932116826712,0.0849861223911487,0.08083088733348386,0.07295662554715479,0.07315735807733338
13,,,0.1640164118475576,0.14222876565425233,0.11972937054488342,0.09859015270340923,0.09202131582829326,0.09232475436280979,0.08914766962658359,0.08856948277716047,0.09229457134381489,0.09140324396010924,0.08686286828599636,0.07992263864931264,0.07529867880171028,0.07545179882001873,0.07171180975646466,0.05929050226241036,0.06125018379650052
15,,,,,,,,,0.09535770769373896,,0.09534226597393128,,0.09155405405405405,,,0.07774469186949767,0.07709766162310866,0.07086815079415705,0.07247959236728539
16,,,0.2674426251068587,0.23076923076923078,0.1900374487309041,0.15677268988209486,0.1475295755045233,0.14486126181987288,0.1447664814536717,0.13916099603679055,0.15493905630748522,0.15412710007304603,0.15498056039683603,0.14593232953569588,0.15252632165338978,0.14299512666286165,0.14507843953908095,0.14152009766243162,0.13840258735850383
17,,,0.18841304053561575,0.17295891413012557,0.15818668897453517,0.13406994289206792,0.13667355371900827,0.13506632047179115,0.13295887622962269,0.13772138788192645,0.13712172508984843,0.13432958455297078,0.13231657048639736,0.12594076292278555,0.11895424836601307,0.11535832678309012,0.10901609502925215,0.08812335768531085,0.0900538719180017
18,,,0.2022077138886704,0.18581664803333672,0.16505382997153817,0.12351249620087439,0.09864035176592166,0.10789212988442487,0.11049062624650978,0.11306266747731315,0.11348871865322374,0.11184726081071454,0.11348245434024215,0.1095723465543984,0.10392590601806868,0.10143186714713341,0.09902891112506,0.08643860280878646,0.08672731031631177
19,,,0.22407581887712685,0.18805922454196847,,0.16077369875373598,0.1504435039712447,0.14699183378701183,0.13895808512942706,0.1389778960517026,0.13809550219067163,0.13596886983983758,0.1392747322659315,0.1310200418785522,0.12368143459915612,0.1222598685553333,0.1210760297586645,0.11353693596100163,0.1171417020416414
20,,,0.22025875670558537,0.19025309364974283,0.1815608784527491,0.16190215905985242,,0.14324750394114555,0.14071598561952503,0.13478061924856374,0.13959338741143854,0.14179540266496787,0.13835367946266608,0.1252339947585174,0.11678898664357022,0.11461013764653025,0.11914912514432899,0.10997588785810618,0.11015026468944202
21,,,0.1874413879337293,0.17211597779148674,0.16210409040267387,0.13768174474959613,0.1396066821738211,0.13466324155093523,0.13182380895331655,0.13170325090302862,0.13809391497638232,0.12451377471227493,0.12787492123503466,0.11600307681037325,0.10249487688254237,0.09992044081680762,0.10113852565457675,0.09059372915276852,0.09256247227561733
22,,,0.14900744076219763,0.1374818401937046,0.12364229273799072,0.10837157449897591,0.1027590701716272,0.0965446390538475,0.09851232329213233,0.0960707568749047,0.09430355549891678,0.09546034174955369,0.08358760774182053,0.07144292604501608,0.07141097785103924,0.07049560322307664,0.06485668407744412,0.05343835988521086,0.053621684197920204
